run_uuid,key,value
b6f36cae3df14c4fa7e0e05b38d79696,architecture,convnext_tiny
b6f36cae3df14c4fa7e0e05b38d79696,learning_rate,0.0001
b6f36cae3df14c4fa7e0e05b38d79696,batch_size,16
b6f36cae3df14c4fa7e0e05b38d79696,num_epochs,100
b6f36cae3df14c4fa7e0e05b38d79696,num_classes,10
b6f36cae3df14c4fa7e0e05b38d79696,preprocessing,full
b6f36cae3df14c4fa7e0e05b38d79696,training_mode,species_only
b6f36cae3df14c4fa7e0e05b38d79696,seed,42
b6f36cae3df14c4fa7e0e05b38d79696,lambda_sex,0.3
b6f36cae3df14c4fa7e0e05b38d79696,lambda_form,0.2
b6f36cae3df14c4fa7e0e05b38d79696,num_params_M,27.83
b6f36cae3df14c4fa7e0e05b38d79696,inference_ms,8.87
154622e4fa0f4a57bceaf48dc0470342,architecture,convnext_tiny
154622e4fa0f4a57bceaf48dc0470342,learning_rate,0.0001
154622e4fa0f4a57bceaf48dc0470342,batch_size,16
154622e4fa0f4a57bceaf48dc0470342,num_epochs,100
154622e4fa0f4a57bceaf48dc0470342,num_classes,10
154622e4fa0f4a57bceaf48dc0470342,preprocessing,full
154622e4fa0f4a57bceaf48dc0470342,training_mode,species_only
154622e4fa0f4a57bceaf48dc0470342,seed,123
154622e4fa0f4a57bceaf48dc0470342,lambda_sex,0.3
154622e4fa0f4a57bceaf48dc0470342,lambda_form,0.2
154622e4fa0f4a57bceaf48dc0470342,num_params_M,27.83
154622e4fa0f4a57bceaf48dc0470342,inference_ms,8.29
b7955eb208a54a2cbae9d39fb79d7949,architecture,convnext_tiny
b7955eb208a54a2cbae9d39fb79d7949,learning_rate,0.0001
b7955eb208a54a2cbae9d39fb79d7949,batch_size,16
b7955eb208a54a2cbae9d39fb79d7949,num_epochs,100
b7955eb208a54a2cbae9d39fb79d7949,num_classes,10
b7955eb208a54a2cbae9d39fb79d7949,preprocessing,full
b7955eb208a54a2cbae9d39fb79d7949,training_mode,species_only
b7955eb208a54a2cbae9d39fb79d7949,seed,456
b7955eb208a54a2cbae9d39fb79d7949,lambda_sex,0.3
b7955eb208a54a2cbae9d39fb79d7949,lambda_form,0.2
b7955eb208a54a2cbae9d39fb79d7949,num_params_M,27.83
b7955eb208a54a2cbae9d39fb79d7949,inference_ms,8.15
21a91bf91e7e428d8ee92f9e7cc76c89,architecture,convnext_tiny
21a91bf91e7e428d8ee92f9e7cc76c89,learning_rate,0.0001
21a91bf91e7e428d8ee92f9e7cc76c89,batch_size,16
21a91bf91e7e428d8ee92f9e7cc76c89,num_epochs,100
21a91bf91e7e428d8ee92f9e7cc76c89,num_classes,10
21a91bf91e7e428d8ee92f9e7cc76c89,preprocessing,full
21a91bf91e7e428d8ee92f9e7cc76c89,training_mode,multi_task
21a91bf91e7e428d8ee92f9e7cc76c89,seed,42
21a91bf91e7e428d8ee92f9e7cc76c89,lambda_sex,0.3
21a91bf91e7e428d8ee92f9e7cc76c89,lambda_form,0.2
21a91bf91e7e428d8ee92f9e7cc76c89,num_params_M,27.83
21a91bf91e7e428d8ee92f9e7cc76c89,inference_ms,9.98
